atomic_id,location,exact_atomic_proposition,claim_class,importance,scope_and_qualifiers,warrant_pointer,independent_check,status,release_action
AC-017,Introduction; source lines 30-30,A satisfying assignment may remain well authenticated while ceasing to satisfy a strengthened formula.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-018,Introduction; source lines 30-30,In both cases the state has not become corrupt in the ordinary sense,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-019,Introduction; source lines 30-30,the downstream responsibility has changed,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-020,Introduction; source lines 32-32,"The distinction is related to statistical sufficiency, state abstraction, and Blackwell comparison, all of which treat informativeness relative to a family of decisions or targets [cited source].",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-021,Introduction; source lines 32-32,"It is also adjacent to selective prediction, which withholds decisions under uncertainty [cited source], truth-maintenance systems, which revise beliefs after premise changes [cited source], and recent work on stale agent memory, execution provenance, and proof-carrying actions [cited source].",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-022,Introduction; source lines 32-32,"These lines motivate auditability, expiry, and certification.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-023,Introduction; source lines 32-32,They do not make provenance or confidence a proof that a representation supports a newly requested task,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-024,Introduction; source lines 34-34,We make the responsibility explicit.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-025,Introduction; source lines 34-34,"A state contract records the set of responsibilities for which support has been established, the contextual coordinates that must remain unchanged, and whether richer state can be reopened.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-026,Introduction; source lines 34-34,"A reuse request then has three possible outcomes: use the stored state, reopen richer state, or decline because support cannot be checked.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-027,Introduction; source lines 34-34,"This is a semantic interface rather than a self-authorizing certificate: the declaration must be justified by an external model, verifier, or registered support relation",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-028,Introduction; source lines 36-36,The paper contributes four bounded pieces of evidence.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-029,Introduction; source lines 36-36,"First, a learned-data study separates a parity responsibility from exact digit identity on the same 1,797 items.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-030,Introduction; source lines 36-36,"Second, a finite Boolean-formula study makes old and changed responsibilities exactly checkable.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-031,Introduction; source lines 36-36,"Third, a provenance-tiered comparison tests whether current provenance alone prevents unsupported reuse after responsibility change.",interpretation,headline,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-032,Introduction; source lines 36-36,"Fourth, a drift study tests certificate transport rather than treating every context change as automatic revocation.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-033,Introduction; source lines 36-36,"In each study the always-raw or always-reissue arm is a correctness ceiling, not a strawman, and raw-state access is counted explicitly",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-034,Introduction; source lines 38-38,Two constraints are central to the interpretation.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-035,Introduction; source lines 38-38,The responsibility-aware policy's equality with always-raw accuracy follows from its routing rule: it uses the same parity output on parity episodes and the same raw digit or formula solver on unsupported episodes.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-036,Introduction; source lines 38-38,The empirical question is therefore not whether the router learns to beat always-raw.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-037,Introduction; source lines 38-38,"It is whether the declared support boundary is honored, whether responsibility-blind comparators fail where predicted, and what raw access is avoided.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-038,Introduction; source lines 38-38,"Second, the formula studies are complete finite panels under registered generators, not samples from a natural population",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-039,Introduction; source lines 40-40,We retain a failed measurement that preceded these studies.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-040,Introduction; source lines 40-40,"Its reported zero unsafe reuse was defined using the policy's own support bit, leaving no independent harm opportunity.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-041,Introduction; source lines 40-40,That endpoint is not used as evidence.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-042,Introduction; source lines 40-40,Keeping this correction visible is necessary because a reuse policy must not grade its own safety,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-043,Related work and claim boundary; source lines 44-45,Sufficiency and abstraction.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-044,Related work and claim boundary; source lines 44-45,Classical sufficiency asks whether a statistic preserves information about a parameter,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-045,Related work and claim boundary; source lines 44-45,decision-theoretic comparison asks when one experiment is at least as informative as another [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-046,Related work and claim boundary; source lines 44-45,State-abstraction work makes analogous distinctions for policies and value functions in sequential decision problems [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-047,Related work and claim boundary; source lines 44-45,Representation learning also distinguishes task-relevant invariance from indiscriminate compression [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-048,Related work and claim boundary; source lines 44-45,We use the elementary factorization condition for a fixed downstream function.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-049,Related work and claim boundary; source lines 44-45,We do not claim a new universal theory of sufficient statistics or a total ordering over responsibilities,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-050,Related work and claim boundary; source lines 47-48,"Confidence, abstention, and stale memory.",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-051,Related work and claim boundary; source lines 47-48,Selective classification uses confidence or risk estimates to abstain on hard inputs [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-052,Related work and claim boundary; source lines 47-48,Our failure mode is different: a stored representation can be highly confident for one responsibility and structurally unable to answer another.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-053,Related work and claim boundary; source lines 47-48,Recent stale-memory work asks whether an agent can recognize when later evidence invalidates stored information [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-054,Related work and claim boundary; source lines 47-48,We study a complementary change in requested responsibility even when provenance remains current,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-055,Related work and claim boundary; source lines 50-51,Provenance and proof-carrying action.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-056,Related work and claim boundary; source lines 50-51,Evidence tracing and execution provenance support attribution and auditability [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-057,Related work and claim boundary; source lines 50-51,Proof-carrying action proposals attach checkable evidence to actions and governance decisions [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-058,Related work and claim boundary; source lines 50-51,These are necessary substrates for trustworthy reuse.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-059,Related work and claim boundary; source lines 50-51,Our narrower residual is that a valid record or signature does not encode every task that the represented content can support.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-060,Related work and claim boundary; source lines 50-51,The provenance-tiered baseline operationalizes that distinction rather than treating provenance as a weak or irrelevant comparator,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-061,Related work and claim boundary; source lines 53-54,Truth maintenance and semantic change.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-062,Related work and claim boundary; source lines 53-54,Truth-maintenance systems track justifications and retract conclusions when assumptions change [cited source].,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-063,Related work and claim boundary; source lines 53-54,"Our drift study is related, but asks when a compact certificate can be transported without full re-issue.",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-064,Related work and claim boundary; source lines 53-54,"It covers only registered clause addition, deletion, and strengthening patterns.",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-065,Related work and claim boundary; source lines 53-54,It does not claim a complete belief-revision or program-verification procedure,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-066,Related work and claim boundary; source lines 56-57,Claim boundary.,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-067,Related work and claim boundary; source lines 56-57,"The contribution is the combined support contract, explicit reopen semantics, and matched evidence across learned and exactly verified responsibilities.",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-068,Related work and claim boundary; source lines 56-57,"The paper does not claim that confidence, provenance, signatures, or memory expiry are ineffective.",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-069,Related work and claim boundary; source lines 56-57,It claims only that they answer different questions and can remain valid when responsibility support has changed,literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-070,Responsibility-relative support; source lines 61-61,"Let X be raw state, T(X) a stored representation, and g_r(X) the correct output for responsibility r over a declared world set",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-071,Responsibility-relative support; source lines 63-68,T supports responsibility r on if there exists a decoder h_r such that [ g_r(x)=h_r(T(x)) for every x . ],definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-072,Responsibility-relative support; source lines 70-70,"Equivalently, every equivalence class induced by T is homogeneous under g_r.",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-073,Responsibility-relative support; source lines 70-70,"This definition is conditional on , r, and the meaning of correctness.",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-074,Responsibility-relative support; source lines 70-70,It never licenses a population claim outside the declared world set,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-075,Responsibility-relative support; source lines 72-74,"If there exist x,x' such that T(x)=T(x') but g_r(x) g_r(x'), no decoder that receives only T(X) can be correct on both states for responsibility r",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-076,Responsibility-relative support; source lines 76-78,"Any such decoder must return the same value on the identical representation, while the two required outputs differ",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-077,Responsibility-relative support; source lines 80-89,A state contract contains: the representation identity,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-078,Responsibility-relative support; source lines 80-89,the supported responsibility set,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-079,Responsibility-relative support; source lines 80-89,support witnesses or verifier identity,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-080,Responsibility-relative support; source lines 80-89,relevant context or epoch,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-081,Responsibility-relative support; source lines 80-89,omitted distinctions,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-082,Responsibility-relative support; source lines 80-89,and a recovery route.,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-083,Responsibility-relative support; source lines 80-89,"Given request (r,c) under current context c, the policy is [ (T,r,c)= reuse, and r is supported and required context agrees",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-084,Responsibility-relative support; source lines 80-89,"reopen, and support is absent or invalidated and richer state is available",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-085,Responsibility-relative support; source lines 80-89,"cannot check, and otherwise. ] The contract is fail-closed but not self-validating.",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-086,Responsibility-relative support; source lines 80-89,A support declaration is evidence only when it is derived independently of the reuse action and the harm label used to assess it,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-087,Responsibility-relative support; source lines 91-91,Provenance and responsibility support form different coordinates.,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-088,Responsibility-relative support; source lines 91-91,"Provenance can establish where state came from, whether an epoch or source identity is current, and which transformations produced it.",definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-089,Responsibility-relative support; source lines 91-91,Responsibility support asks whether the retained distinctions entail the requested output.,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-090,Responsibility-relative support; source lines 91-91,Neither coordinate subsumes the other,definition_or_proposition,supporting,Exact only on a declared world set and responsibility.,"definition, direct proof, and finite collision witnesses",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-091,Evaluation design; source lines 95-95,Learned-data responsibility change,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
