atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,dependencies_and_hidden_premises,warrant_pointer,warrant_class,evidence_resolution_status,support_or_entailment_status,strongest_alternative_or_counterexample,boundary_or_uncertainty,cross_section_locations,independent_check,status,release_action
D01,acquisition authority,The acquisition policy selects search/read/route-stop actions from observable state.,definition,major,,,manuscript/sections/acquisition_authority.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
D02,acquisition authority,"The closure map returns continue, route-stop, open, undetermined, or task-close from evidence and obligation state.",definition,major,,,manuscript/sections/acquisition_authority.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
D03,formalism,"A read receipt is the tuple of work, content digest, extraction-schema version, and scientific frame.",definition,major,,,manuscript/sections/formalism.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
D04,formalism,"A route capture records route kind, backend, query derivation, and captured content identities.",definition,major,,,manuscript/sections/formalism.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
F01,formalism,"The route-independence predicate requires distinct route kind, backend, and query derivation.",formal_claim,major,conservative provenance screen,,manuscript/sections/formalism.tex,proof,RESOLVED,ENTAILED,route labels or zero overlap suffice,not statistical independence,introduction; discussion,independently traced to named warrant,VERIFIED,retain
F02,formalism,The two-source capture estimate n_i n_j/m_ij is undefined at zero overlap and remains advisory.,formal_claim,supporting,accepted route pair only,,manuscript/sections/formalism.tex; literature audit rows L24-L25,proof,RESOLVED,ENTAILED,coverage estimate authorizes closure,adaptive-search dependence not established,,independently traced to named warrant,VERIFIED,retain
F03,formalism,Route-stop non-certification is an implementation invariant: no route decision certifies task completeness.,formal_claim,headline,declared controller semantics,,manuscript/sections/formalism.tex; tests/unit/p2,proof,RESOLVED,ENTAILED,route stop equals task stop,"implementation invariant, not empirical law",abstract; introduction; Figure 1; conclusion,independently traced to named warrant,VERIFIED,retain
F04,formalism,"Task closure requires every declared material route to be discharged/resolved, no material transport failure open, and no coverage diagnostic used as authority.",formal_claim,major,relative to frozen material-route contract,,manuscript/sections/formalism.tex; evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,proof,RESOLVED,ENTAILED,,unknown source families can reopen a task,,independently traced to named warrant,VERIFIED,retain
F05,formalism,"The evaluator distinguishes route-stop false positives, route-stop false negatives, premature task closure, and duplicate processing.",definition,major,complete gold required where full relevance is used,,manuscript/sections/formalism.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
M01,methods,"Controlled complete-gold, exact-contract, and TREC-COVID evidence have separate authority and cannot promote one another.",method,headline,,,manuscript/sections/methods.tex,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
M02,methods,Task/system/budget/evaluator/threshold/seed identities were frozen before result access for result-bearing campaigns.,method,major,repository-bound campaigns,,protocol/OFFLINE_RUN_MANIFEST_V1.json; evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M03,methods,Complete gold was evaluator-only; candidate systems received public task views and label-free records.,method,major,controlled campaign,,protocol/OFFLINE_RUN_MANIFEST_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M04,methods,"PASS, FAIL, and undetermined are distinct outcomes; undetermined is neither zero nor evidence of absence.",definition,major,,,manuscript/sections/methods.tex,definition,RESOLVED,ENTAILED,,,,independently traced to named warrant,COHERENT_DEFINITION,retain
M05,methods,"The controlled index has 390 tasks, 14 systems, three deterministic repeats, and 16,380 normalized records.",empirical_result,major,repeats do not enlarge n,,evidence/offline_results/RESULTS_SUMMARY_V1.json,author_data,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M06,methods,"The planned precision tier requires 385 tasks; 390 meet it, but half-width 0.0496 exceeds superiority margin 0.03.",statistics,headline,,,protocol/STATISTICAL_PLAN_V1.json; evidence/offline_results/RESULTS_SUMMARY_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M07,methods,The exact-contract battery contains 400 cases over five acquisition settings and includes 80 nonmaterial-unavailable decoys.,method,major,,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,author_data,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M08,methods,The available-route donor comparator differs systematically in excluding unresolved unavailable/censored/provider-invalid material routes from closure aggregation.,method,major,donor receives listed strong mechanisms,,evidence/P2_X_CLAIM_BINDINGS_V1.json; evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M09,methods,"Exact-contract uncertainty uses 20,000 domain-stratified bootstrap resamples and exact McNemar discordance.",statistics,supporting,,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M10,methods,The TREC-COVID comparison has four arms on the same 50 topics; topic is the paired inference unit.,method,major,,,external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M11,methods,"The TREC-COVID pass rule requires recall noninferiority, candidate/tool-call reduction, and no increased premature stop; failure of recall or cost fails the gate.",method,headline,,,external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
M12,methods,nDCG@10 was measured but prospectively excluded from the TREC-COVID pass rule.,method,major,,,external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
R01,results: controlled index,"governed controller closed 260/390 tasks correctly, failed 59 by honest budget exhaustion, and left 71 undetermined.",empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R02,results: controlled index,protocol-driven review reached recall 0.666667 and prematurely closed all 390 tasks.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R03,results: controlled index,descriptive controlled recall difference is 0.312821 and remains non-promotional.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R04,results: controlled index,at query 7 the curves are 0.757835 versus 0.666667; at query 12 they are 0.979487 versus 0.666667.,empirical_result,supporting,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R05,results: controlled index,removing the route-independence check gives recall 0.444444 and premature closure on all tasks.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R06,results: controlled index,promoting route stop to task stop gives recall 0.333333 and premature closure on all tasks.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R07,results: controlled index,letting coverage diagnostics control closure gives recall 0.555556 and premature closure on all tasks.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R08,results: controlled index,"removing content-identity dedup raises duplicate processing to 0.31453, produces 193 budget failures, and lowers pass rate to 0.369231.",empirical_result,supporting,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R09,results: controlled index,removing the question coordinate preserves aggregate recall but lowers legitimate rereads from 3.666667 to 1.0 in extraction-shift cases.,empirical_result,supporting,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R10,results: controlled index,removing unavailable-route open state converts all 71 censored cases into asserted completion and premature closure.,empirical_result,major,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
R11,results: controlled index,"route-stop replay has 13/1,950 false positives and 0/1,878 observed false negatives.",empirical_result,supporting,synthetic complete-gold universe,,evidence/offline_results/RESULTS_SUMMARY_V1.json; evidence/offline_results/ROUTE_STOP_ORACLE_V1.json,author_data,RESOLVED,ENTAILED,,descriptive mechanism evidence,,independently traced to named warrant,VERIFIED,retain
X01,results: exact contracts,"fail-closed, available-route donor, global-sufficiency, and information-equivalent products are correct on 400, 250, 100, and 400 cases respectively.",empirical_result,headline,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
X02,results: exact contracts,"paired fail-closed minus available-route donor difference is 0.375 with 95% interval [0.3275,0.4225].",empirical_result,headline,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
X03,results: exact contracts,"McNemar discordance is b=150,c=0.",empirical_result,supporting,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
X04,results: exact contracts,all 150 donor errors are material unavailable/censored/provider-invalid cases excluded by its aggregation rule.,empirical_result,major,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
X05,results: exact contracts,"fail-closed control has zero false closures, perfect clean closure, zero unnecessary clean undetermined outcomes, and zero errors on 80 nonmaterial decoys.",empirical_result,major,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
X06,results: exact contracts,performance is identical across the five 80-case acquisition settings.,empirical_result,supporting,authored exact contracts only,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,,no open-world or inherent-model generalization,,independently traced to named warrant,VERIFIED,retain
T01,results: TREC-COVID,BM25 recall@100 is 0.110334 and governed-controller recall@100 is 0.092642.,statistics,headline,50 paired public-collection topics,,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,registered recall/cost gate governs; no superiority,,independently traced to named warrant,VERIFIED,retain
T02,results: TREC-COVID,"recall delta is -0.01769 with interval [-0.02729,-0.00906], so the -0.02 noninferiority criterion fails.",statistics,headline,50 paired public-collection topics,,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,registered recall/cost gate governs; no superiority,,independently traced to named warrant,VERIFIED,retain
T03,results: TREC-COVID,"mean reads are 235.8 versus 85.52 and route calls 3.0 versus 1.0, so the cost criterion fails.",statistics,headline,50 paired public-collection topics,,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,registered recall/cost gate governs; no superiority,,independently traced to named warrant,VERIFIED,retain
T04,results: TREC-COVID,"nDCG@10 values are 0.566746 versus 0.417992; delta 0.1488, interval [0.1008,0.1986], wins 42/50 topics.",statistics,major,50 paired public-collection topics,,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,registered recall/cost gate governs; no superiority,,independently traced to named warrant,VERIFIED,retain
E01,results: external boundaries,"MetaSyn retrieval recall is 0.7485 and inclusion recall 0.5651 across 86 released reviews; 598/1,677 links are absent from retrieved pools and 343 more are lost in screening.",empirical_result,supporting,bounded stress test only,,evidence/external_results/METASYN_ID_ONLY_PROBE_V1.json; evidence/external_results/METASYN_SCREENING_FN_LEDGER_V1.json,author_data,RESOLVED,ENTAILED,,not averaged with TREC-COVID or promoted,,independently traced to named warrant,VERIFIED,retain
E02,results: external boundaries,AutoResearchBench Deep yields 0/600 official title matches after a 9/9 judge control.,empirical_result,supporting,bounded stress test only,,evidence/external_results/DEEP_OFFICIAL_ARCHIVE_V1.json; evidence/external_results/DEEP_JUDGE_CONTROL_2026-08-17.json,author_data,RESOLVED,ENTAILED,,not averaged with TREC-COVID or promoted,,independently traced to named warrant,VERIFIED,retain
E03,results: external boundaries,OpenAIRE/Crossref campaigns fail the 0.90 provider-validity criterion and zero differences are not equivalence.,empirical_result,supporting,bounded stress test only,,evidence/external_results/P2_WIDE_OPENAIRE_MATCHED_RESULT_V1.json,author_data,RESOLVED,ENTAILED,,not averaged with TREC-COVID or promoted,,independently traced to named warrant,VERIFIED,retain
E04,results: external boundaries,some public screening studies favor the frozen donor on recall and work-saving endpoints.,empirical_result,supporting,bounded stress test only,,evidence/external_results/P2_V2_WIDE_BOUNDED_MATCHED_RESULT_2026-08-18.json,author_data,RESOLVED,ENTAILED,,not averaged with TREC-COVID or promoted,,independently traced to named warrant,VERIFIED,retain
G01,figures/tables,Figure 1 depicts acquisition state flow and the forbidden route-stop-to-task-close promotion.,figure_or_table,supporting,,,manuscript/figures/P2-1_pipeline.tex,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G02,figures/tables,Figure 2 displays task-mean controlled recall trajectories and labels them descriptive.,figure_or_table,supporting,,,manuscript/figures/P2-2_recall_vs_queries.tex; evidence/offline_results/OFFLINE_MECHANISMS_V1.json,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G03,figures/tables,Figure 3 displays terminal premature-closure counts for selected ablations.,figure_or_table,supporting,,,manuscript/figures/P2-6_stopping_failures.tex; evidence/offline_results/RESULTS_SUMMARY_V1.json,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G04,figures/tables,"Table 1 reports controlled recall, premature closure, pass, undetermined, and fail outcomes.",figure_or_table,supporting,,,manuscript/sections/results.tex; evidence/offline_results/RESULTS_SUMMARY_V1.json,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G05,figures/tables,Table 2 reports exact-contract counts and the information-equivalent tie.,figure_or_table,supporting,,,manuscript/sections/results.tex; evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G06,figures/tables,"Table 3 reports TREC-COVID recall, nDCG, reads, and route calls for four arms.",figure_or_table,supporting,,,manuscript/sections/results.tex; external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
G07,figures/tables,"Table 4 keeps MetaSyn, AutoResearchBench, OpenAIRE, and screening evidence at separate authority levels.",figure_or_table,supporting,,,manuscript/sections/results.tex,displayed_result,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
B01,discussion/limitations,the controlled studies do not estimate real-web difficulty or prove route-registry completeness.,interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B02,discussion/limitations,"route independence is conservative provenance screening, not statistical independence.",interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B03,discussion/limitations,"exact-contract behavior is authored-contract behavior, not open-world generalization.",interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B04,discussion/limitations,the TREC-COVID external gate is adverse despite favorable nDCG.,interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B05,discussion/limitations,unknown source families can reopen a task.,interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B06,discussion/limitations,content hashes do not determine scientific relevance.,interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
B07,discussion/limitations,provider-validity failures remain undetermined rather than equivalence.,interpretation,major,,,manuscript/main.tex; named evidence records,method_record,RESOLVED,ENTAILED,,explicit retained limitation,,independently traced to named warrant,BOUNDED_INFERENCE,retain
L01,related work / references,Targeted literature-search agents remain difficult on controlled research tasks.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L02,related work / references,Open-ended research/search agents remain difficult on benchmarked tasks.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L03,related work / references,Strong lexical retrieval can outperform large-model retrievers inside a deep-research workflow.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L04,related work / references,Reasoning traces can be used as retrieval signals.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L05,related work / references,Field-aware admission and selective section fetching trade context for accuracy.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L06,related work / references,Bibliography expansion can recover eligible studies missed by API-only search.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L07,related work / references,Retrieval and eligibility screening are separable evidence-synthesis stages.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L08,related work / references,An agent workflow has been evaluated on expert-annotated systematic-review tasks.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L09,related work / references,Technology-assisted review protocols study active screening and recall.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L10,related work / references,Continuous active learning studies autonomy and high-recall review.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L11,related work / references,ASReview studies active-learning workload reduction for systematic review.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L12,related work / references,Systematic-review screening has statistical stopping proposals.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L13,related work / references,Systematic-review screening has data-driven stopping research.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L14,related work / references,Heuristic stopping rules have been evaluated for screening.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L15,related work / references,Continuation/stopping can be framed decision-theoretically.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L16,related work / references,Deep-research control can use marginal utility or granularity decisions.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L17,related work / references,Verification-aware completion/stopping is prior work.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
