atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,warrant_pointer,independent_check,status,release_action
AC-011,Abstract; source lines 26-27,increasing Qwen2.5 model size did not yield the registered monotone benefit,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-012,Abstract; source lines 26-27,and a semantics-preserving symbol remint invalidated an earlier serialization contrast.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-013,Abstract; source lines 26-27,"These results support a bounded procedure for locating failure before spending more compute, not a universal diagnostic, a universal representation advantage, or a general argument against scaling",interpretation,headline,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-014,Introduction; source lines 31-31,"Increasing test-time computation can improve language-model reasoning, and repeated sampling can raise the chance of finding a correct answer [cited source].",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-015,Introduction; source lines 31-31,These gains make computation a natural response to poor performance.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-016,Introduction; source lines 31-31,They do not make it the right response to every failure.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-017,Introduction; source lines 31-31,"If a system never receives a decisive variable, no amount of downstream search can recover it.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-018,Introduction; source lines 31-31,"If the variable is present but encoded outside the effective access class of the learner, a representation repair may be more appropriate than a larger model.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-019,Introduction; source lines 31-31,Only after information and accessibility are adequate is additional computation a well-targeted intervention,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-020,Introduction; source lines 33-33,This distinction connects several established research lines.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-021,Introduction; source lines 33-33,Algorithmic-reasoning benchmarks separate learned execution from exact procedures [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-022,Introduction; source lines 33-33,Graph and relational models show that organization can change what a learner can exploit [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-023,Introduction; source lines 33-33,Work on underspecified questions asks systems to acquire missing information rather than guess [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-024,Introduction; source lines 33-33,Recent analyses also isolate representational inconsistency from downstream reasoning failure and show that serialization alone can materially change performance [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-025,Introduction; source lines 33-33,"Our question is narrower: can fixed, single-coordinate interventions diagnose which resource is missing before a generic policy escalates compute?",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-026,Introduction; source lines 35-35,We study three failure locations.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-027,Introduction; source lines 35-35,An information intervention supplies genuinely missing task information.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-028,Introduction; source lines 35-35,An accessibility intervention preserves semantic information but changes how it is exposed to a fixed access class.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-029,Introduction; source lines 35-35,A computation intervention preserves the information and interface while adding an inference procedure or a richer downstream computation.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-030,Introduction; source lines 35-35,"On a probe split, a frozen rule chooses the lowest registered-cost intervention that reaches a predeclared quality target.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-031,Introduction; source lines 35-35,"On a disjoint protected split, the same target and cost rule define the causal disposition independently.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-032,Introduction; source lines 35-35,A generic comparator escalates computation whenever the base system is below target,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-033,Introduction; source lines 37-37,"The primary evaluation contains five fixed families, not a random sample from a declared population.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-034,Introduction; source lines 37-37,Two use handwritten digits,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-035,Introduction; source lines 37-37,"three are exact executable discriminators for missing information, inaccessible encoding, and required composition.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-036,Introduction; source lines 37-37,"The diagnostic agrees with the protected disposition in four of five families, whereas generic compute escalation agrees in one.",interpretation,headline,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-037,Introduction; source lines 37-37,The diagnostic makes no false compute escalations,interpretation,headline,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-038,Introduction; source lines 37-37,the comparator makes four.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-039,Introduction; source lines 37-37,"The unmatched family is not retuned or discarded: an accessibility repair crosses the target on the probe split but not on protected data, so its protected disposition is indeterminate",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-040,Introduction; source lines 39-39,Three secondary results delimit the claim.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-041,Introduction; source lines 39-39,"First, an information-preserving cubic transformation reduces linear-model accessibility on two of three real datasets, and an exact inverse repair restores it",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-042,Introduction; source lines 39-39,Wine is a null.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-043,Introduction; source lines 39-39,"Second, a protected Qwen2.5 size ladder does not support the registered monotone scaling hypothesis.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-044,Introduction; source lines 39-39,"Third, a hostile symbol-reminting audit changes 32 of 128 predictions of an older same-information serialization comparator, withdrawing that contrast.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-045,Introduction; source lines 39-39,A later redraw-ensemble analysis reproduces the full-sample diagnostic decisions but fails its own half-sample stability condition.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-046,Introduction; source lines 39-39,We therefore retain the original four-of-five result,interpretation,headline,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-047,Introduction; source lines 41-41,The contribution is a study design and a bounded evidence object.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-048,Introduction; source lines 41-41,"We do not claim that the three resource classes exhaust all causes of failure, that the abstract registered costs are physical utility, that accessibility repair is generally cheaper than model scaling, or that the result transfers to deployed language-model agents",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-049,Related work and claim boundary; source lines 45-46,Adaptive computation and metareasoning.,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-050,Related work and claim boundary; source lines 45-46,The value-of-computation tradition treats deliberation as a decision under resource constraints [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-051,Related work and claim boundary; source lines 45-46,Contemporary test-time scaling work studies how inference budget and sampling policies affect language-model performance [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-052,Related work and claim boundary; source lines 45-46,"Our generic comparator is deliberately simpler than those optimized policies: it represents the failure heuristic ``uncertain, therefore compute more.'' We do not compare against every adaptive-compute algorithm and do not claim a new allocation optimum.",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-053,Related work and claim boundary; source lines 45-46,The paper instead asks whether the premise for compute escalation is correct after information and accessibility interventions are made explicit,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-054,Related work and claim boundary; source lines 48-49,"Structure, access, and algorithmic reasoning.",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-055,Related work and claim boundary; source lines 48-49,Graphormer and GraphGPS establish that relational organization and structural encodings can alter the effective inductive bias of a learner [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-056,Related work and claim boundary; source lines 48-49,The CLRS benchmark and Transformer--neural algorithmic reasoners study learned execution and out-of-distribution algorithmic generalization [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-057,Related work and claim boundary; source lines 48-49,Serialization-friction results show that information-equivalent structured tasks can change difficulty when projected into a one-dimensional sequence [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-058,Related work and claim boundary; source lines 48-49,These works own the broad ideas that representation matters and that computation can be isolated.,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-059,Related work and claim boundary; source lines 48-49,We contribute neither a graph architecture nor a universal representation theorem,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-060,Related work and claim boundary; source lines 51-52,"Missing information, abstention, and diagnosis.",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-061,Related work and claim boundary; source lines 51-52,QuestBench evaluates whether language models ask for information needed to answer underspecified questions [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-062,Related work and claim boundary; source lines 51-52,Temporal neuro-symbolic question answering has been used to separate representational inconsistency from reasoning failure [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-063,Related work and claim boundary; source lines 51-52,Selective classification supplies a broader statistical language for withholding a decision when confidence or coverage is inadequate [cited source].,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-064,Related work and claim boundary; source lines 51-52,Our indeterminate outcome is related in spirit but is defined differently: it occurs when no registered intervention has transported across the fixed quality threshold.,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-065,Related work and claim boundary; source lines 51-52,It is not a calibrated probability of error,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-066,Related work and claim boundary; source lines 54-55,Scope of originality.,literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-067,Related work and claim boundary; source lines 54-55,"The original object here is the combined prospective comparison of three intervention classes, protected recomputation of the causal disposition, a generic compute-escalation foil, and vector-valued resource disclosure.",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-068,Related work and claim boundary; source lines 54-55,"The paper does not claim priority for any intervention class alone, for exact collision ceilings, for structured learning, for abstention, or for test-time scaling",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-069,Diagnostic design; source lines 59-59,Intervention classes,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-070,Diagnostic design; source lines 61-67,"Let a task family have a base system, quality measure q, and target .",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-071,Diagnostic design; source lines 61-67,We register three interventions: I_info and : add task-relevant semantic information,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-072,Diagnostic design; source lines 61-67,I_access and : preserve semantic information and repair its interface,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-073,Diagnostic design; source lines 61-67,I_compute and : preserve information and interface and add computation.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-074,Diagnostic design; source lines 61-67,The intervention meanings are fixed within each family.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-075,Diagnostic design; source lines 61-67,An accessibility intervention must be information-preserving by construction or round-trip verification.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-076,Diagnostic design; source lines 61-67,"A computation intervention may change the access algorithm or execute an explicit operation, but it may not add semantic inputs unavailable to the base system",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-077,Diagnostic design; source lines 69-77,"For each split s and intervention j, let q_s,j be observed quality and c_j the registered selection cost.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-078,Diagnostic design; source lines 69-77,The split-level disposition is d_s = Ties are resolved by the frozen cost order.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-079,Diagnostic design; source lines 69-77,The diagnostic observes the probe split and predicts d_probe,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-080,Diagnostic design; source lines 69-77,the protected disposition d_protected is computed separately.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-081,Diagnostic design; source lines 69-77,Diagnostic correctness is exact equality.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
