claim_id,surface,atomic_claim,claim_type,verification_status,release_status,warrant,resolution_action
A010,manuscript/sections/01-replacement-abstract.tex,That composition law is now a theorem rather than an enumeration.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A011,manuscript/sections/01-replacement-abstract.tex,"Over uninterpreted sorts of transformations, contracts, closure coordinates and obligations, with the donor-native validity predicate left uninterpreted, identity is a unit, composition is associative, and a composite carries closure if and only if both legs carry it and the intermediate contract matches.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A012,manuscript/sections/01-replacement-abstract.tex,"The side conditions are named rather than assumed away: the unit law needs the contract test to be reflexive, the equational forms of the laws need extensionality, and obligation-totality composition needs containment of demanded obligations rather than a registered bridge.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A013,manuscript/sections/01-replacement-abstract.tex,"One consequence is negative and is kept: P7's composition rule is provably incomplete against its own obligation semantics, refusing composites whose contracts demand exactly the same obligations when no bridge is registered.",formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A014,manuscript/sections/01-replacement-abstract.tex,"It is sound and fail-closed, not exact.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A015,manuscript/sections/01-replacement-abstract.tex,The bounded model is then recovered as an instance rather than repeated as separate support.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A016,manuscript/sections/01-replacement-abstract.tex,"The five donor families are interpreted as a transformation family: each is a transformation with its own source and target obligation contracts, and the intermediate-contract test becomes a function of the two transformations and of the registered bridge relation rather than a value supplied by the caller.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A017,manuscript/sections/01-replacement-abstract.tex,"Under three frame conditions, twelve further theorems are discharged at arbitrary width, and P7's published 25 composition successes and 25 bridge-mismatch countermodels are recomputed by running the committed implementation with the hand-off computed rather than typed.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A018,manuscript/sections/01-replacement-abstract.tex,"What that recovery exposes is reported in full below, because it is a limit on the paper's own evidence and not on the theorems.",formal_or_scope,VERIFIED,retain,explicit scope/adverse boundary,retain boundary
A019,manuscript/sections/02-composition-calculus.tex,The composition calculus (replaces the informal V3.5),quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A020,manuscript/sections/02-composition-calculus.tex,"Let Trans, Contract, Coord and Obl be sorts, Native : Trans -> Bool the donor's own preservation/refinement/round-trip verdict, Holds : Trans x Coord -> Bool the per-coordinate closure status, Src, Tgt : Trans -> Contract the obligation contracts a transformation consumes and emits, and Bridge : Contract x Contract -> Bool the registered bridge relation.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A021,manuscript/sections/02-composition-calculus.tex,The closure lift. Carries(t) <-> Native(t) AND forall c.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A022,manuscript/sections/02-composition-calculus.tex,"This is V3's ClosureCarries(T, o) with the five-tuple replaced by a quantifier, so nothing below depends on there being five coordinates.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A023,manuscript/sections/02-composition-calculus.tex,"The intermediate-contract test. Match(a, b) := a = b OR Bridge(a, b), verbatim from V3.5's ``exactly the same contract, or a registered bridge''.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A024,manuscript/sections/02-composition-calculus.tex,"Coordinate transport (the one substantive axiom). A composite holds a closure coordinate exactly when both legs hold it, and the distinguished coordinate obligations_total additionally requires Match(Tgt t, Src u).",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A025,manuscript/sections/02-composition-calculus.tex,Theorem V4.1 --- intermediate-contract composition,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A026,manuscript/sections/02-composition-calculus.tex,"Carries(Comp(t,u)) <-> Carries(t) AND Carries(u) AND Match(Tgt t, Src u), for every pair of transformations.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A027,manuscript/sections/02-composition-calculus.tex,"This is V3.5, and it is derived from coordinate transport rather than assumed; a calculus that took it as an axiom would be assuming its own conclusion.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A028,manuscript/sections/02-composition-calculus.tex,Theorem V4.2 --- unit and associativity,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A029,manuscript/sections/02-composition-calculus.tex,"Ident(a) carries closure, is a two-sided unit, and the two bracketings of a three-transformation chain are observationally equal --- with nothing assumed of the bridge relation: no reflexivity, no symmetry, no transitivity.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A030,manuscript/sections/02-composition-calculus.tex,Under extensionality both laws hold as equations.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A031,manuscript/sections/02-composition-calculus.tex,"The unit law needs the test to be reflexive, which it is because Match has an equality disjunct; with the raw registered relation in its place there is a countermodel.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A032,manuscript/sections/02-composition-calculus.tex,Theorem V4.3 --- the rule is sound and incomplete,quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A033,manuscript/sections/02-composition-calculus.tex,"Under an obligation semantics defined without reference to any composition rule, Total(t) <-> forall o.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A034,manuscript/sections/02-composition-calculus.tex,"Demands(Tgt t, o) -> Demands(Src t, o) OR Discharged(t,o) OR Fresh(t,o), matching intermediate contracts suffice for totality to compose but are not necessary.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A035,manuscript/sections/02-composition-calculus.tex,The exact condition is weaker: containment of the second leg's source demands in the first leg's target demands.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A036,manuscript/sections/02-composition-calculus.tex,P7's rule therefore refuses composites that are in fact obligation-total.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A037,manuscript/sections/02-composition-calculus.tex,This is a real gap in the paper's own rule and is reported as one.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A038,manuscript/sections/03-donor-stack-family.tex,The donor stack as a transformation family,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A039,manuscript/sections/03-donor-stack-family.tex,"V3's composition support is a 5 x 5 loop over donor families in which, in the committed checker, neither donor appears on the right-hand side of anything and both legs are the same loop-invariant expression.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A040,manuscript/sections/03-donor-stack-family.tex,"Instrumented, that loop evaluates compose at 2 of its 8 possible argument triples.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A041,manuscript/sections/03-donor-stack-family.tex,"Under the interpretation each family becomes a transformation with its own hand-off contracts, and the third argument is computed from the pair rather than typed.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A042,manuscript/sections/03-donor-stack-family.tex,Three frame conditions are stated as axioms rather than folded into an encoding:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A043,manuscript/sections/03-donor-stack-family.tex,"enumerate Hand-offs are never contract identities --- no family's target contract is any family's source contract, its own included.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A044,manuscript/sections/03-donor-stack-family.tex,Distinct families have distinct endpoints. The stack is inhabited. enumerate,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A045,manuscript/sections/03-donor-stack-family.tex,"Theorem V4.4 --- the composition rows, generalised",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A046,manuscript/sections/03-donor-stack-family.tex,A bridged hand-off between two carrying donors composes; an unbridged one refuses; a donor composed with itself still needs a bridge registered from its own target contract back to its own source contract; and a chain of three donors carries exactly when all three legs carry and both interior hand-offs are bridged.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A047,manuscript/sections/03-donor-stack-family.tex,For a stack of any size.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A048,manuscript/sections/03-donor-stack-family.tex,Theorem V4.5 --- the rows the enumeration does not contain,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A049,manuscript/sections/03-donor-stack-family.tex,"If either leg fails to carry, the composite does not carry, whatever the other leg is and whatever the registry says.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A050,manuscript/sections/03-donor-stack-family.tex,These are the six argument triples the published loop never evaluates.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A051,manuscript/sections/03-donor-stack-family.tex,Theorem V4.6 --- the donor axis indexes something,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A052,manuscript/sections/03-donor-stack-family.tex,"Distinct ordered donor pairs present distinct hand-offs, and two pairs whose hand-offs the registry decides differently have composites that carry differently.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A053,manuscript/sections/03-donor-stack-family.tex,"On an inhabited carrying stack, both the successes and the refusals have witnesses rather than holding vacuously.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A054,manuscript/sections/03-donor-stack-family.tex,"Two conditions that looked like frame conditions --- that no identity is a donor, and that a composite's hand-off is separated too --- were written as axioms first, reported inert, and are now discharged as theorems from the remaining three.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A055,manuscript/sections/03-donor-stack-family.tex,"Their inertness is re-measured rather than remembered: both are added back to the axiom set on every run and the theorems that becomes newly provable are reported, and the answer has to stay none.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A056,manuscript/sections/04-composition-counts.tex,What the published composition counts do and do not carry,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A057,manuscript/sections/04-composition-counts.tex,"This section exists because the numbers in V3's support table are larger than the facts behind them, and the difference is measurable.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A058,manuscript/sections/04-composition-counts.tex,"25 bridge-mismatch countermodels is exactly one frame condition. Once the hand-off is computed rather than typed, a refused composite is one whose hand-off does not match, so 25 refusals under an empty registry is the statement that no family's target contract is any family's source contract.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A059,manuscript/sections/04-composition-counts.tex,Read as a check on the interpretation this is good news: the condition is P7's own assertion and not a modelling convenience.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A060,manuscript/sections/04-composition-counts.tex,Read as a count it is one fact.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A061,manuscript/sections/04-composition-counts.tex,"Assignments that violate it return 0, 20 and 21 instead of 25.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A062,manuscript/sections/04-composition-counts.tex,"25 composition successes discriminates nothing about the interpretation. Every contract assignment tried --- including ones that collapse the whole stack to a single contract pair --- returns 25 under a registry that bridges every hand-off, because a full registry satisfies the match test whatever the contracts are.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A063,manuscript/sections/04-composition-counts.tex,"The counts cannot see the second frame condition at all. Reading every family as consuming one shared input contract and emitting one shared output contract reproduces both published numbers exactly, and so does reading them as emitting one shared output contract.",formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A064,manuscript/sections/04-composition-counts.tex,Those are the readings in which the 5 x 5 loop visits 1 and 5 distinct hand-offs rather than 25 --- precisely the multiplier the interpretation is supposed to remove --- and the published pair is blind to both.,quantitative,VERIFIED,retain,current adverse audit,retain and reconcile successor rule
A065,manuscript/sections/04-composition-counts.tex,"What separates them is Theorem V4.6 and the directly measured hand-off count, not the counts.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A066,manuscript/sections/04-composition-counts.tex,A registry that bridged some hand-offs and not others would have separated them empirically; P7 shipped no such registry.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A067,manuscript/sections/04-composition-counts.tex,"The published counts still reach two argument triples, and this is now a fact about the registries. Reproducing 25 successes requires every hand-off bridged and reproducing 25 countermodels requires none bridged, both over an all-carrying stack.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A068,manuscript/sections/04-composition-counts.tex,The 25 rows are 25 distinct hand-offs rather than 25 copies of one argument; they remain 25 agreeing verdicts.,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A069,manuscript/sections/04-composition-counts.tex,"The other six triples are exercised separately, over 204,800 evaluations of the committed functions against the proved rule.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A070,manuscript/sections/04-composition-counts.tex,"Both verdicts occur, but the corpus is heavily skewed --- only 25 of those rows compose successfully, one per ordered donor pair, because a leg carries at exactly one of the 64 (native verdict, closure vector) rows it is given --- and the per-triple counts are published beside the total rather than summarised.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A071,manuscript/sections/04-composition-counts.tex,That enumeration is not part of P7's published result and does not become part of it by being run.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A072,manuscript/sections/05-bounded-support.tex,"Exhaustive bounded support (unchanged, re-read)",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A073,manuscript/sections/05-bounded-support.tex,The enumeration of V3 is unchanged on disk and its digest is unchanged:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A074,manuscript/sections/05-bounded-support.tex,"itemize states: 320; donor-conservativity violations: 0; ideal-product mismatches: 0; minimal one-coordinate closure separations: 25; donor-product nonclosure countermodels: 31; exact full closure-refinement successes: 155; proper-subset closure-refinement failures: 1,055; heterogeneous composition successes under exact bridge: 25; bridge-mismatch composition countermodels: 25; canonical rows SHA-256:\\ 25f40385714adb15bca298a8cfd2b7fe2b28c96bfe462f6b60583be8f735b95f.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A075,manuscript/sections/05-bounded-support.tex,What V4 changes is the reading.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A076,manuscript/sections/05-bounded-support.tex,"The 155 and 1,055 are a five-way donor multiplication of 31 and 211: the donor loop enters neither the closure vector nor the repair set.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A077,manuscript/sections/05-bounded-support.tex,"Neither does anything else under it --- 320 states is the 64-point (native verdict, closure vector) space enumerated once per family, the 25 minimal separations are 5 counted five times, and the 25 successes and 25 bridge countermodels are one of each counted once per ordered donor pair.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A078,manuscript/sections/05-bounded-support.tex,"Only the 31 nonclosure countermodels are 31 distinct facts, and the donor\_axis block of the result artifact carries the same table.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A079,manuscript/sections/05-bounded-support.tex,The composition pair is discussed in 20.,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A080,manuscript/sections/05-bounded-support.tex,"The counts remain correct and remain reproducible; they are support for a bounded instance, and the general claims are now carried by 18--19 instead.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A081,manuscript/sections/06-wider-claim.tex,Wider P7 claim (V4 wording),formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A082,manuscript/sections/06-wider-claim.tex,"Scientific navigation can reuse mature planning/refinement, counterexample-guided reopening, representation-migration, replanning and terminal-commitment machinery while carrying task-global closure as an explicit obligation object; closure-transport defects can be selectively refined; and heterogeneous navigation transforms compose scientifically only when their intermediate closure contracts are correctly bridged --- which holds for chains of any length over donor stacks of any size, and is sound but not complete against P7's own obligation semantics.",formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A083,manuscript/sections/07-limits.tex,The registered closure coordinates remain a bounded formal instance and are not claimed universally minimal.,formal_or_scope,VERIFIED,retain,explicit scope/adverse boundary,retain boundary
A084,manuscript/sections/07-limits.tex,The composition rule is fail-closed and provably incomplete: it refuses composites that are obligation-total but unbridged.,formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A085,manuscript/sections/07-limits.tex,"No naturalistic multi-stage pipeline corpus exists, so nothing here is an empirical or deployed-agent claim, and the false-closure/recomputation trade-off is not measured.",formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A086,manuscript/sections/07-limits.tex,"No formal or empirical reproduction outside the producing lane has been arranged: the calculus, the interpretation and the tests were written in the same lane, and independent reproduction remains open.",formal_or_scope,VERIFIED,retain,explicit scope/adverse boundary,retain boundary
A087,manuscript/sections/07-limits.tex,P7's other formal core --- the 64-state support-transport theorem --- is a different model and is untouched here.,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A088,manuscript/sections/07-limits.tex,science terminal:\\ P7_CLOSURE_CARRYING_NAVIGATION_SUPPORTED__BOUNDED_FORMAL_DONOR_STACK__IDEAL_PRODUCT_EQUIVALENT.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A089,manuscript/sections/08-real-regime-transport.tex,Non-synthetic evidence in three change classes,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A090,manuscript/sections/08-real-regime-transport.tex,The support enumerated in 5 is bounded and synthetic.,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A091,manuscript/sections/08-real-regime-transport.tex,"Three executed studies carry the same separation into real data, one per change class: representation, responsibility/ontology, and objective/obligation.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A092,manuscript/sections/08-real-regime-transport.tex,Each was frozen before execution and reproduced by a second implementation that shares no facts or gold code with the first.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A093,manuscript/sections/08-real-regime-transport.tex,"Representation change. The public RO-Crate 1.2 -> 1.3 transition, in which four Bioschemas workflow terms changed canonical URI bindings while ordinary value-level JSON usage can appear unchanged.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A094,manuscript/sections/08-real-regime-transport.tex,"Across 14 frozen standard-transition cases, witness-aware transport is exact (1.0), with 0 false closures, 0 unnecessary reopens and 4 correct CANNOT\_CHECK dispositions.",quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A095,manuscript/sections/08-real-regime-transport.tex,Value-only transport reaches 0.428571 with 8 false closures; always-reopen reaches 0.285714 with 6 unnecessary reopens.,quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A096,manuscript/sections/08-real-regime-transport.tex,"Responsibility/ontology change. The 178-example UCI Wine recognition data, where the coarse responsibility class0\_vs\_other makes the reverse coarse-to-fine map non-injective: coarse value 0 merges fine classes 1 and 2.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A097,manuscript/sections/08-real-regime-transport.tex,"Across 712 protected transport rows, witness-aware transport is exact (1.0) with 238 correct CANNOT\_CHECK; value-only reaches 0.665730 and converts those same 238 into false closures; always-reopen reaches 0.0 with 474 unnecessary reopens.",quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A098,manuscript/sections/08-real-regime-transport.tex,The 119 ambiguous coarse-0 examples are the cases where locally well-formed representation changes require different dispositions depending on retained support history.,quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A099,manuscript/sections/08-real-regime-transport.tex,"Objective/obligation change. The 569-example Wisconsin Diagnostic Breast Cancer data, under a frozen StratifiedKFold(n\_splits=5, shuffle=True, random\_state=20261217) split.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A100,manuscript/sections/08-real-regime-transport.tex,"The obligation changes from aggregate accuracy to malignant recall, and the two obligations come apart in both directions: fold 0 satisfies the old accuracy obligation (0.965 >= 0.95) but fails the new recall obligation (0.907 < 0.95), while fold 1 fails the old (0.947 < 0.95) and satisfies the new (0.953 >= 0.95).",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A101,manuscript/sections/08-real-regime-transport.tex,"All five accuracy-only cells are CANNOT\_CHECK under the changed obligation, because malignant recall is not inferable from aggregate accuracy; value-only produces 5 false closures and always-reopen 4 unnecessary reopens.",quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A102,manuscript/sections/08-real-regime-transport.tex,"Witness-aware transport is 1.0 in all three classes, and the two degenerate policies separate in every one: value preservation alone closes transitions it has not earned, and always reopening pays for transitions that were already witnessed.",quantitative,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A103,manuscript/sections/08-real-regime-transport.tex,"What this does not establish. These are three executed change classes, not a universal claim.",formal_or_scope,VERIFIED,retain,explicit scope/adverse boundary,retain boundary
A104,manuscript/sections/08-real-regime-transport.tex,"The result does not establish scientific-regime transport across arbitrary world-model, objective or research-agent changes, and it does not establish independent scientific authority: the agreement is between two implementations inside the same workflow, not an external adjudication.",formal_or_scope,VERIFIED,retain,explicit scope/adverse boundary,retain boundary
A105,manuscript/sections/08-real-regime-transport.tex,The breast-cancer study is a transport experiment over a frozen split.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A106,manuscript/sections/08-real-regime-transport.tex,"No clinical use is claimed, and no classifier or medical decision rule is offered.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A107,manuscript/bibliography.bib,"@miscsog2025, author = Sun, J. A. and others, title = Search-on-Graph: Iterative informed navigation for large language model reasoning on knowledge graphs, note = arXiv:2510.08825, year = 2025",literature,NOT_ASSESSABLE,withhold,bibliographic record present; current source entailment not reverified,verify source and residual novelty
A108,manuscript/bibliography.bib,"@miscmpw2026, author = Chen, J. and others, title = Evaluating the search agent in a parallel world, note = arXiv:2603.04751, year = 2026",literature,NOT_ASSESSABLE,withhold,bibliographic record present; current source entailment not reverified,verify source and residual novelty
A109,manuscript/bibliography.bib,"@misciep2026, author = McNamara, C. and Hederman, L. and O'Sullivan, D., title = The initial exploration problem in knowledge graph exploration, note = arXiv:2602.21066, year = 2026",literature,NOT_ASSESSABLE,withhold,bibliographic record present; current source entailment not reverified,verify source and residual novelty
