claim_id,surface,atomic_claim,claim_type,verification_status,release_status,warrant,resolution_action
A025,manuscript/sections/02-donor-engulfment.tex,Donor-engulfment architecture,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A026,manuscript/sections/02-donor-engulfment.tex,V3 explicitly imports the strongest useful structure from two neighboring layers.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A027,manuscript/sections/02-donor-engulfment.tex,"Action, delegation, and authorization donors",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A028,manuscript/sections/02-donor-engulfment.tex,"P8 reuses evidence-backed permission graphs and external deterministic authorizers; runtime-neutral action certificates carrying action identity, approvals, runtime and outcome receipts; append-only human-to-agent delegation provenance; authority-narrowing and cascade-containment rules; principal-chain composition with bounded scope; typed verifier certificates; heterogeneous authorization-evidence chains; and generic cross-domain authority relations.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A029,manuscript/sections/02-donor-engulfment.tex,"These mechanisms answer important local questions such as whether an action is permitted, whether a delegation is valid, whether required evidence certificates are present, or whether heterogeneous authorization receipts jointly satisfy an action policy.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A030,manuscript/sections/02-donor-engulfment.tex,P8 claims none of those mechanisms as its own.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A031,manuscript/sections/02-donor-engulfment.tex,"Scientific claim, release, and adjudication donors",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A032,manuscript/sections/02-donor-engulfment.tex,"P8 also reuses domain scientific harnesses that separate semantic from scientific authority and authorize evidence-bound release; claim-to-evidence chains with deterministic grounding and verification; persistent contract-governed research artifacts; evidence-calibrated claim adjudication; and evidence-ledger review that routes unsupported, contradicted, or mixed-evidence claims back for revision.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A033,manuscript/sections/02-donor-engulfment.tex,These donors establish that scientific claim validation/release can itself be externalized and governed.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A034,manuscript/sections/02-donor-engulfment.tex,P8 therefore does not claim novelty merely for separating a model's fluent answer from a scientific release decision.,formal_or_scope,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A035,manuscript/sections/02-donor-engulfment.tex,The remaining composition problem,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A036,manuscript/sections/02-donor-engulfment.tex,The donor mechanisms are powerful but heterogeneous.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A037,manuscript/sections/02-donor-engulfment.tex,"Their local verdicts concern different objects: an action, a delegation, a receipt chain, a verifier predicate, a claim-evidence packet, a research artifact, or a domain-specific release decision.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A038,manuscript/sections/02-donor-engulfment.tex,P8's V3 object is the common relation that governs when such a local authority object is entitled to discharge a target scientific obligation of another type or scope.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A039,manuscript/sections/03-discharge-type.tex,Scientific-discharge type and lifted terminal,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A040,manuscript/sections/03-discharge-type.tex,The complete scientific-discharge type is,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A041,manuscript/sections/03-discharge-type.tex,"tau = (domain, kind, scope, content, epoch).",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A042,manuscript/sections/03-discharge-type.tex,"Let D(a) denote the native authority, verification, adjudication, or release verdict of donor object a.",formal_or_scope,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A043,manuscript/sections/03-discharge-type.tex,P8 does not rewrite D.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A044,manuscript/sections/03-discharge-type.tex,The bounded lifted state additionally contains:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A045,manuscript/sections/03-discharge-type.tex,"itemize narrowing_ok: every relevant authority/delegation/claim-processing hop preserves or narrows tau; blocker state b in \REFUTED, UNDETERMINED, ESTABLISHED\; two alternative complete support families S_A, S_B; optional explicit protected_coercion binding a source type to the target type and epoch.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A046,manuscript/sections/03-discharge-type.tex,A donor-derived judgment reaches DISCHARGE only when:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A047,manuscript/sections/03-discharge-type.tex,enumerate D(a) is valid; the scientific type matches directly or a complete protected coercion is registered; authority is non-widening across the relevant chain; blocker state is REFUTED; at least one complete support family survives.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A048,manuscript/sections/03-discharge-type.tex,UNDETERMINED maps to CANNOT_CHECK; ESTABLISHED maps to BLOCK.,formal_or_scope,UNRESOLVED,withhold,current evidence explicitly withholds authority,withhold
A049,manuscript/sections/04-theorems.tex,Theorem V3.1 --- donor conservativity,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A050,manuscript/sections/04-theorems.tex,"Adding the scientific-discharge layer does not change any donor-native action, delegation, evidence, adjudication, or release verdict.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A051,manuscript/sections/04-theorems.tex,Local authorities remain usable for their native purpose even when they do not discharge a broader scientific target.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A052,manuscript/sections/04-theorems.tex,Theorem V3.2 --- cross-donor scientific-discharge separation,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A053,manuscript/sections/04-theorems.tex,"For every registered donor family and each non-inert coordinate of (domain, kind, scope, content, epoch), native donor success can coexist with scientific-discharge failure when only that coordinate is incompatible with the target obligation.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A054,manuscript/sections/04-theorems.tex,"Thus a valid action certificate, verified claim-evidence packet, scientific release decision, or cross-domain authorization may be retained without being treated as an unrestricted authority token.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A055,manuscript/sections/04-theorems.tex,Theorem V3.3 --- monotone scientific authority propagation,quantitative,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A056,manuscript/sections/04-theorems.tex,Scientific authority may be preserved or narrowed through heterogeneous authority chains.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A057,manuscript/sections/04-theorems.tex,A hop that widens the scientific type beyond inherited authority cannot discharge the widened target merely because each local donor step remains native-valid.,formal_or_scope,UNRESOLVED,withhold,current evidence explicitly withholds authority,withhold
A058,manuscript/sections/04-theorems.tex,This extends donor narrowing/cascade-containment ideas to the scientific-obligation type rather than replacing them.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A059,manuscript/sections/04-theorems.tex,Theorem V3.4 --- protected coercion,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A060,manuscript/sections/04-theorems.tex,A complete protected coercion may transform an otherwise incompatible scientific type.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A061,manuscript/sections/04-theorems.tex,The same mismatch without the registered bridge remains blocked.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A062,manuscript/sections/04-theorems.tex,"Semantic similarity, intent similarity, common action digest, claim fluency, or ordinary action composability is not sufficient to create a coercion.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A063,manuscript/sections/04-theorems.tex,Theorem V3.5 --- three-state blockers,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A064,manuscript/sections/04-theorems.tex,Under otherwise satisfied conditions:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A065,manuscript/sections/04-theorems.tex,itemize REFUTED permits the blocker condition to clear and allows discharge; UNDETERMINED yields CANNOT_CHECK; ESTABLISHED blocks discharge.,formal_or_scope,UNRESOLVED,withhold,current evidence explicitly withholds authority,withhold
A066,manuscript/sections/04-theorems.tex,The distinction prevents unknown blocker state from being silently treated as blocker absence.,formal_or_scope,UNRESOLVED,withhold,current evidence explicitly withholds authority,withhold
A067,manuscript/sections/04-theorems.tex,Theorem V3.6 --- exact support-family revocation,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A068,manuscript/sections/04-theorems.tex,"When two independent complete support families establish the same target obligation, revoking one family preserves discharge through the other.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A069,manuscript/sections/04-theorems.tex,Revoking all complete support families removes discharge.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A070,manuscript/sections/04-theorems.tex,"This avoids both over-revocation, in which one failed premise destroys an independently supported result, and under-revocation, in which a broken unique support path is ignored.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A071,manuscript/sections/04-theorems.tex,Theorem V3.7 --- heterogeneous authority-chain composition,quantitative,CONTRADICTED,withhold,later current interpretation shows the 169 rows are one reflexive state repeated and do not exercise heterogeneity,remove or replace with type-distinct execution
A072,manuscript/sections/04-theorems.tex,"Every ordered pair among the thirteen registered donor families admits a scientifically valid two-hop composition under native-valid local verdicts, compatible or protectedly bridged scientific type, non-widening authority, refuted blockers, and surviving support.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A073,manuscript/sections/04-theorems.tex,The matched chain with a scientific-authority-widening hop is blocked even though both donor-native steps remain valid.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A074,manuscript/sections/04-theorems.tex,The theorem treats heterogeneous authority composition as a first-class object rather than requiring every donor to adopt one common receipt format.,formal_or_scope,CONTRADICTED,withhold,later current interpretation shows the 169 rows are one reflexive state repeated and do not exercise heterogeneity,remove or replace with type-distinct execution
A075,manuscript/sections/04-theorems.tex,"Theorem V3.8 --- permission, release, and support are not inverse relations",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A076,manuscript/sections/04-theorems.tex,A native denial of one action or release route is not scientific refutation when an independent complete evidence family establishes the proposition.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A077,manuscript/sections/04-theorems.tex,"Conversely, native authorization or release does not authorize a different or broader scientific target.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A078,manuscript/sections/04-theorems.tex,The two relations are connected by explicit evidence/type bridges rather than logical inversion.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A079,manuscript/sections/04-theorems.tex,"Theorem V3.9 --- heterogeneous receipt composition is a prerequisite, not scientific sufficiency",quantitative,CONTRADICTED,withhold,later current interpretation shows the 169 rows are one reflexive state repeated and do not exercise heterogeneity,remove or replace with type-distinct execution
A080,manuscript/sections/04-theorems.tex,"Valid composition of authorization receipts, canonical action or subject binding, and successful local policy evaluation may be necessary inputs to a scientific claim, but they do not by themselves establish target scientific sufficiency.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A081,manuscript/sections/04-theorems.tex,"Scientific discharge remains governed by the target type, blocker, support, and coercion relation.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A082,manuscript/sections/04-theorems.tex,Theorem V3.10 --- ideal decentralized-product equivalence,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A083,manuscript/sections/04-theorems.tex,"A decentralized donor product supplied with the exact same scientific type, narrowing, blocker, support-family, coercion, and composition rules agrees extensionally with P8.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A084,manuscript/sections/04-theorems.tex,"The contribution is therefore the explicit common scientific-discharge calculus, not centralized expressive power.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A085,manuscript/sections/05-donor-envelope.tex,Final donor envelope and literature fixed point,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A086,manuscript/sections/05-donor-envelope.tex,The final donor envelope contains thirteen families across authorization/security and scientific verification/adjudication.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A087,manuscript/sections/05-donor-envelope.tex,"The research chronology is retained deliberately: early six-donor and ten-donor intermediate enumerations are preserved, because later hostile searches discovered stronger scientific-release and heterogeneous-authority donors and forced the architecture to expand rather than shrink.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A088,manuscript/sections/05-donor-envelope.tex,Two post-X4 search rounds produced no further material change to the interface.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A089,manuscript/sections/05-donor-envelope.tex,"This is a bounded current-pass fixed point, not a claim of global or exhaustive literature saturation.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A090,manuscript/sections/05-donor-envelope.tex,A newly discovered primary formalism with an equivalent target scientific-discharge relation is a reopen trigger.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A091,manuscript/sections/06-bounded-support.tex,Exact bounded support,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A092,manuscript/sections/06-bounded-support.tex,Final X4 enumeration:,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A093,manuscript/sections/06-bounded-support.tex,"itemize distinct exact authority states: 3,072, each replayed across thirteen donor families for 39,936 evaluations; the donor axis changes no verdict in any of 239,616 sibling pairs, which is the conservativity result and not extra coverage; terminals: 19,968 NO_DONOR_AUTHORITY, 15,353 BLOCK, 3,328 CANNOT_CHECK, 1,287 DISCHARGE; donor-conservativity violations: 0; minimal scientific-type separation witnesses: 65; protected-coercion successes: 65; matched unprotected-coercion countermodels: 65; blocker-law instances: 13 REFUTED successes, 13 UNDETERMINED CANNOT_CHECK, 13 ESTABLISHED blocks; one-support-family revocation survivals: 26; all-support-family revocation blocks: 13; heterogeneous ordered-chain composition successes: 169 --- one composition counted thirteen times thirteen, because the enumeration's chain loop ignores both of its donor variables and the thirteen families present a single profile to it; the mechanized derivation below states what that leaves; matched scientific-authority-widening chain countermodels: 169, on the same replication; action/release-denied but independently supportable proposition examples: 13; ideal decentralized-product mismatches: 0; canonical row SHA-256:\\ ed186b824692fd5b3ab31be718c75b84e2126b577ce921ca5cc01b2d08ae19e6.",quantitative,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A094,manuscript/sections/06-bounded-support.tex,A separate checker independently reconstructs the final enumeration.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A095,manuscript/sections/07-mechanized-core.tex,"Mechanized core, and what the finite result is an instance of",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A096,manuscript/sections/07-mechanized-core.tex,Everything above this line is an enumeration over an authored state space.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A097,manuscript/sections/07-mechanized-core.tex,"That is a true statement about 3,072 states and thirteen donor families, and it is not a theorem.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A098,manuscript/sections/07-mechanized-core.tex,"Three machine-checked artifacts under formal/mechanized/ now say which parts of it follow from a general semantics, and what each part costs.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A099,manuscript/sections/07-mechanized-core.tex,"The calculus. Ten composition and revocation theorems --- scope non-amplification, domain confinement, non-laundering, non-compensatory obligations, defeater monotonicity, epoch isolation, the one-step delegation lemma, a bridge from conversion to reachability, and a characterisation of cycles --- are discharged by Z3 over uninterpreted domain, object and issuer sorts, so none of them is a statement about thirteen donors or six named domains.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A100,manuscript/sections/07-mechanized-core.tex,"Two limits travel with them and are recorded in the artifact rather than in a footnote: reachability is axiomatised as a reflexive-transitive closure carrying a well-founded rank, because transitive closure is not first-order definable, and the chain theorem's induction schema is the single hand step in the development.",formal_or_scope,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A101,manuscript/sections/07-mechanized-core.tex,"The rank is not a formality --- an earlier axiomatisation without it admitted circular reachability, in which a sink domain reached its own source, and a differential against the committed checker is what caught it.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A102,manuscript/sections/07-mechanized-core.tex,"The state model as an instance. Each of the seven arguments the X4 terminal takes is assigned to the calculus conjunct it means: type-coordinate agreement or a registered protected coercion is the calculus's reachability, narrowing is scope containment, and the blocker is at once a hard obligation and a defeater.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A103,manuscript/sections/07-mechanized-core.tex,"The calculus's own rule under that assignment reproduces X4 exactly on all 3,072 distinct states, with all four terminals reached.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A104,manuscript/sections/07-mechanized-core.tex,The chain compositions as instances. A donor family is interpreted as an element of an uninterpreted sort whose domain is its scientific type profile; a protected coercion is a registered conversion and narrowing is scope containment.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A105,manuscript/sections/07-mechanized-core.tex,"Under eight frame conditions stated as axioms --- each shown load-bearing by exhibiting a countermodel to a theorem it carries --- seven theorems are discharged, and donor-level chain confinement is expanded and discharged at every chain length up to six.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A106,manuscript/sections/07-mechanized-core.tex,"The bound is a measured limit rather than a chosen one: lengths seven to twelve were tried and the solver returned unknown on some runs and a proof in seconds on others, so the ladder stops where it is a reliable corroboration.",formal_or_scope,VERIFIED,retain,explicit adverse/scope boundary,retain boundary
A107,manuscript/sections/07-mechanized-core.tex,"Nothing about the theorem changes at length seven --- the induction schema is what carries every length, and it is the single hand step in the development.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A108,manuscript/sections/07-mechanized-core.tex,"A P8 chain hop is the calculus's delegation, which is itself one of the discharged theorems, so Theorem V3.7 is an instance of a statement that mentions neither thirteen nor two.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A109,manuscript/sections/07-mechanized-core.tex,"What that costs Theorem V3.7. The derivation lands, and what it lands on is small.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A110,manuscript/sections/07-mechanized-core.tex,We state it here rather than leave a reader to assume otherwise.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A111,manuscript/sections/07-mechanized-core.tex,itemize The 169 is one composition counted 169 times.,quantitative,VERIFIED,retain,mechanized adverse correction,retain correction and remove contradicted breadth
A112,manuscript/sections/07-mechanized-core.tex,"The committed enumeration writes its chain claim as a doubly nested loop over the thirteen families whose body mentions neither loop variable, and under the interpretation all 169 ordered pairs compose to a single distinct state.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
